Customer_Id,Age,Monthly_Income,Credit_Score,Credit_Score_Band,Loan_Amount,Interest_Rate,Loan_Term,Loan_Type,Debt_Income,Repayment_Status,Transaction_Id,Gender,Transaction_Amount,Transaction_Type,Transaction_Date,Transaction_Year,Transaction_Month,Product_Id,Product_Name,Interaction_Date,Interaction_Year,Interaction_Day_Name,Interaction_Type,Transaction_Frequency
C097,54,160943.4,743,Excellent,457137.44,4.08,48,Business,2.840361518397151,0,0e334963-73bb-4a64-b41b-681abb70643d,Female,1226.02,Withdrawal,2024-07-04,2024,7,P025,Medical Loan,2024-06-13,2024,Thursday,Viewed,6
C051,37,49256.81,441,Poor,313007.12,12.28,60,Personal,6.354595841671436,0,9095b837-ebde-4970-9d25-7c867a968fdc,Male,184.29,Deposit,2023-10-30,2023,10,P07,Business Loan,2023-10-27,2023,Friday,Clicked,6
C07,34,85454.68,677,Good,614366.58,5.83,36,Mortgage,7.189384829479205,0,a0705df6-5074-411e-a50c-5f0d81fd17f8,Male,200.26,Withdrawal,2024-03-17,2024,3,P019,Home Improvement Loan,2024-08-17,2024,Saturday,Clicked,2
C098,69,174697.89,367,Poor,184281.89,14.2,60,Personal,1.054860422183691,0,2faa5919-f2be-41fc-bb11-fa7ea58907e5,Female,1402.49,Deposit,2024-08-25,2024,8,P014,Certificate of Deposit,2024-07-01,2024,Monday,Viewed,2
C092,36,52850.45,826,Excellent,582025.38,6.83,36,Business,11.01268541705889,0,eae6473e-881d-40f0-8055-e9420ae1078d,Female,1963.15,Deposit,2024-06-23,2024,6,P05,Home Loan,2024-07-21,2024,Sunday,Viewed,2
C036,50,36732.99,350,Poor,495267.66,6.83,24,Personal,13.482911682386868,1,d8ca13a9-75fc-4c26-aba7-78b164fc0235,Female,1966.27,Withdrawal,2024-04-05,2024,4,P011,Insurance Policy,2024-04-01,2024,Monday,Purchased,7
C075,36,148703.65,692,Good,697168.9,14.47,48,Business,4.688310609726123,0,efef2162-6704-4288-879f-098be9c15635,Female,1438.91,Deposit,2024-01-22,2024,1,P023,Long-Term Loan,2024-02-28,2024,Wednesday,Clicked,10
C099,37,50408.61,740,Excellent,251653.59,14.6,60,Education,4.992273938916387,0,be6b605b-d1c9-4252-90ba-690d40e53116,Male,1679.21,Deposit,2023-12-10,2023,12,P08,Student Loan,2023-10-19,2023,Thursday,Purchased,3
C010,51,152090.75,568,Poor,403783.74,5.63,36,Auto,2.654886901405904,0,308b5f1d-00c0-4007-96ec-84306fc5d06b,Male,1771.59,Withdrawal,2024-09-02,2024,9,P041,Retirement Savings,2024-06-22,2024,Saturday,Viewed,1
C072,40,67186.59,368,Poor,943927.89,8.69,24,Business,14.049349580027801,1,3c0736c7-8388-4179-acfc-f14ed9d91e9e,Male,495.5,Withdrawal,2023-12-03,2023,12,P034,Stock Investment,2024-05-24,2024,Friday,Viewed,9
C033,57,98612.63,666,Fair,177881.58,13.32,12,Auto,1.8038417594176321,0,bd9a9c6c-1677-4b59-80c5-2e17bc877ffa,Female,396.34,Deposit,2024-03-12,2024,3,P026,Emergency Loan,2024-07-14,2024,Sunday,Purchased,9
C023,24,75507.81,346,Poor,750872.93,4.71,12,Mortgage,9.944308145077974,1,82ca79a2-05f7-4fe4-8d3e-dcc46e79ed62,Male,1082.88,Withdrawal,2023-11-01,2023,11,P032,Education Savings Plan,2024-03-24,2024,Sunday,Purchased,3
C036,21,102760.54,304,Poor,576352.82,3.08,36,Business,5.608697852307899,1,4242f36b-eaf3-461e-b20d-f6da8fa7a777,Male,1464.08,Withdrawal,2023-11-18,2023,11,P031,Technology Loan,2024-09-02,2024,Monday,Viewed,7
C082,42,194277.95,656,Fair,868411.23,10.65,24,Education,4.469942317180101,0,296de8d0-ecc9-4d41-bf14-61f1fbf21192,Male,287.02,Deposit,2024-07-04,2024,7,P031,Technology Loan,2024-07-04,2024,Thursday,Viewed,5
C056,41,163444.16,456,Poor,921731.71,2.18,24,Education,5.639428842241901,0,6de69646-a1bb-4d73-8652-81ccbc75dc29,Male,420.31,Withdrawal,2024-07-17,2024,7,P016,Mortgage Refinance,2024-03-05,2024,Tuesday,Clicked,6
C099,58,41180.39,815,Excellent,843317.11,2.9,48,Personal,20.47860911467813,0,3e2e179f-125a-4c55-af0e-ecde0196cd3a,Female,448.16,Withdrawal,2024-06-04,2024,6,P036,International Investment,2024-08-05,2024,Monday,Clicked,3
C018,20,107886.57,750,Excellent,462348.42,2.0,36,Personal,4.285504859409285,0,8de476c6-c4a4-4f8d-a707-39611f4940a5,Male,1109.34,Deposit,2024-03-05,2024,3,P047,Healthcare Savings,2023-10-03,2023,Tuesday,Clicked,5
C010,27,139837.05,584,Fair,553261.09,7.4,12,Mortgage,3.9564699770196814,0,5d6dde3a-ab46-499f-8b79-cfac61a270b6,Female,642.1,Withdrawal,2024-06-16,2024,6,P042,High-Yield Savings Account,2024-04-02,2024,Tuesday,Purchased,1
C035,39,92860.5,431,Poor,109331.95,13.45,24,Mortgage,1.1773784332412598,0,975c256e-917a-43f5-a0b0-f4e2bc2e3643,Male,1175.62,Deposit,2024-07-20,2024,7,P016,Mortgage Refinance,2024-06-25,2024,Tuesday,Viewed,3
C07,63,94683.03,448,Poor,608007.78,10.67,48,Auto,6.4215074232415255,0,d456b18f-dd8a-438e-a802-9d70e427ab5b,Male,1476.43,Withdrawal,2024-07-12,2024,7,P07,Business Loan,2024-07-23,2024,Tuesday,Viewed,2
C048,45,169469.28,603,Fair,695234.81,2.87,48,Auto,4.10242381392073,0,01e10518-69cc-4652-8a24-bee97ab4c961,Female,480.04,Deposit,2023-09-20,2023,9,P042,High-Yield Savings Account,2024-07-10,2024,Wednesday,Purchased,10
C073,33,82122.63,518,Poor,914477.11,6.95,24,Mortgage,11.135506863333529,0,344ec56e-6f3f-484a-ae74-c0c4e49857d3,Female,328.84,Deposit,2024-03-28,2024,3,P011,Insurance Policy,2023-10-05,2023,Thursday,Clicked,2
C034,47,60348.14,728,Good,949517.5,9.7,24,Mortgage,15.733997766956861,0,8d0cdd3c-e6dc-4075-b260-9093077f3dfa,Female,448.96,Deposit,2024-07-16,2024,7,P026,Emergency Loan,2023-12-18,2023,Monday,Purchased,10
C054,46,31655.56,554,Poor,456372.64,5.44,48,Mortgage,14.416824090301988,0,42afbba6-7e95-4d93-a0da-52fdf2064e8d,Male,23.42,Withdrawal,2024-02-17,2024,2,P07,Business Loan,2024-05-06,2024,Monday,Purchased,2
C047,61,66240.36,709,Good,950843.74,5.87,48,Education,14.354447047087303,0,d61e1c93-ff19-4cae-bfd2-47dc0ac6dbda,Male,615.24,Deposit,2023-10-29,2023,10,P045,Pension Plan,2024-03-07,2024,Thursday,Purchased,1
C018,68,83605.56,546,Poor,512100.67,9.3,48,Personal,6.125198730802114,0,7f49e600-b6fe-4d12-be21-998b2f803b4b,Male,1918.02,Withdrawal,2023-11-25,2023,11,P05,Home Loan,2024-03-31,2024,Sunday,Clicked,5
C08,30,54523.87,470,Poor,587052.96,6.38,36,Auto,10.766898241082298,1,00edc21c-2bfe-4b05-9548-bbb446457581,Male,974.32,Deposit,2023-11-29,2023,11,P012,Mutual Fund,2023-11-13,2023,Monday,Purchased,8
C020,39,140342.34,731,Good,111452.99,5.55,12,Business,0.7941508599614343,0,684d5da0-7c9a-4152-99a7-1f43aa164faa,Male,1870.93,Deposit,2024-06-07,2024,6,P027,Holiday Loan,2024-03-06,2024,Wednesday,Viewed,9
C015,67,168542.02,572,Poor,517553.53,4.81,36,Education,3.0707685240748868,0,0b54a15c-385d-496a-9e3a-1669f99dbfcd,Female,408.61,Deposit,2024-07-21,2024,7,P021,Cash Credit,2024-08-17,2024,Saturday,Purchased,2
C049,47,61112.75,328,Poor,982229.0,1.02,24,Personal,16.072407149081002,1,f7bc61cf-c488-4ceb-b791-dd4cab2ad11d,Male,686.75,Withdrawal,2024-07-17,2024,7,P026,Emergency Loan,2024-08-15,2024,Thursday,Clicked,5
C097,66,35584.48,780,Excellent,654565.19,7.18,60,Personal,18.39468189502839,0,65c69104-3a5d-4827-92cc-e20ca32d6d01,Male,1922.45,Withdrawal,2024-02-02,2024,2,P034,Stock Investment,2024-04-30,2024,Tuesday,Viewed,6
C068,49,117835.75,836,Excellent,273261.02,14.11,24,Mortgage,2.318999285021736,0,a84aaf2e-8959-4472-be86-3171f217c2d3,Female,572.43,Deposit,2023-11-14,2023,11,P07,Business Loan,2024-05-22,2024,Wednesday,Purchased,4
C014,59,30340.72,334,Poor,789101.04,1.38,60,Auto,26.007986626553357,1,47f733fe-977c-4e32-9498-c4182fb37553,Male,1970.31,Deposit,2024-09-11,2024,9,P07,Business Loan,2024-08-06,2024,Tuesday,Viewed,1
C038,34,131627.91,571,Poor,474722.93,3.42,36,Education,3.6065522122169984,0,830bc3e0-5d47-4085-bb9a-bdbb21e0542b,Female,816.67,Withdrawal,2024-01-31,2024,1,P016,Mortgage Refinance,2023-12-09,2023,Saturday,Clicked,9
C095,52,38213.81,632,Fair,574693.22,12.92,12,Mortgage,15.038888297188896,0,a74e313c-fb8a-4639-8630-ecf3ddf6ae53,Female,208.82,Withdrawal,2024-07-25,2024,7,P050,Savings Account,2023-12-01,2023,Friday,Viewed,9
C065,51,70005.56,810,Excellent,401298.49,9.68,24,Personal,5.7323802566539,0,76e6600c-d1c0-40b1-8cc4-2c52d935c99a,Male,120.23,Deposit,2023-09-26,2023,9,P08,Student Loan,2023-10-06,2023,Friday,Viewed,8
C072,22,148038.72,841,Excellent,198124.79,6.54,60,Mortgage,1.3383308772191491,0,4c9c65bc-e889-483b-a19e-5dd8fede2cd2,Female,921.44,Withdrawal,2024-04-07,2024,4,P045,Pension Plan,2024-08-22,2024,Thursday,Clicked,9
C031,44,67576.32,848,Excellent,851125.18,3.13,60,Mortgage,12.595021155339621,0,e6dd421b-9a6a-4542-a927-cf9ec641c252,Male,1299.87,Withdrawal,2024-08-05,2024,8,P05,Home Loan,2024-03-19,2024,Tuesday,Purchased,6
C024,42,197976.38,430,Poor,261720.6,2.12,12,Mortgage,1.321978914858429,0,1e68891c-5cc5-4b29-b7fe-b994b2b5043b,Female,152.2,Deposit,2024-05-21,2024,5,P044,Insurance Savings,2023-09-22,2023,Friday,Purchased,8
C028,38,41565.96,316,Poor,581614.5,3.37,48,Business,13.992567475886519,1,dbd4b532-c41d-4ded-b8c4-4876929af58b,Male,830.59,Withdrawal,2024-05-18,2024,5,P028,Debt Consolidation Loan,2024-04-21,2024,Sunday,Purchased,1
C013,46,61849.59,849,Excellent,117140.4,6.48,24,Education,1.8939559664017174,0,cc63253f-0e6d-4108-86f2-0b319efbf57e,Male,1268.6,Withdrawal,2024-09-04,2024,9,P012,Mutual Fund,2024-05-20,2024,Monday,Viewed,8
C097,66,190077.89,385,Poor,989169.95,8.57,48,Auto,5.204024255530193,0,d7e392d9-a7c7-4ae3-ae56-6ce8b6842414,Female,93.0,Withdrawal,2024-05-09,2024,5,P050,Savings Account,2024-08-01,2024,Thursday,Clicked,6
C087,57,153569.66,668,Fair,427133.92,7.23,48,Personal,2.781369184512097,0,139cb398-ae72-4058-9173-1ab6769bef99,Female,1570.58,Withdrawal,2024-03-25,2024,3,P024,Travel Loan,2024-04-14,2024,Sunday,Clicked,6
C096,69,77492.23,444,Poor,766336.89,8.75,48,Business,9.889209408478761,0,b812d0a7-b67a-4758-825a-40d4776fc63f,Male,1906.05,Deposit,2024-04-06,2024,4,P05,Home Loan,2024-06-03,2024,Monday,Viewed,6
C040,35,81330.91,623,Fair,889682.85,12.37,12,Business,10.93904949545013,0,f051a728-c76a-4c06-bc6c-833bedde6f28,Female,1221.2,Deposit,2024-08-12,2024,8,P012,Mutual Fund,2024-06-06,2024,Thursday,Clicked,4
C023,52,173493.95,794,Excellent,166670.05,14.22,48,Business,0.9606677927385939,0,7e538f54-5480-4b33-b08f-10907fdf950d,Male,1061.28,Withdrawal,2023-10-08,2023,10,P047,Healthcare Savings,2024-09-05,2024,Thursday,Clicked,3
C087,60,95368.29,303,Poor,623482.41,3.81,48,Personal,6.537628073230631,1,2a9a279c-5df5-478f-92ed-9188e01df068,Female,993.85,Deposit,2024-01-29,2024,1,P046,Child Education Fund,2023-11-13,2023,Monday,Clicked,6
C012,56,155232.27,692,Good,441047.0,2.03,24,Personal,2.8412069217309006,0,989e053a-b10f-405e-a7b8-b1a8d09a6f20,Female,1513.96,Withdrawal,2024-09-18,2024,9,P010,Retirement Plan,2024-05-01,2024,Wednesday,Viewed,6
C052,62,38049.54,530,Poor,532375.16,11.3,48,Mortgage,13.99163196191071,1,432e7710-e47e-4c2d-9aba-40075a98905b,Female,228.91,Deposit,2024-05-10,2024,5,P017,Business Credit Line,2023-11-04,2023,Saturday,Clicked,3
C076,61,34901.68,445,Poor,337024.58,14.87,60,Business,9.656399921149928,1,bac75416-8ef7-4762-a3b0-c21ba75fa267,Female,98.71,Deposit,2024-03-22,2024,3,P037,Fixed Deposit,2024-07-10,2024,Wednesday,Viewed,1
C089,59,146520.57,623,Fair,633438.11,7.63,12,Education,4.323202605613669,0,7ae2b781-9237-467b-b5ca-20966a3fb971,Female,387.1,Withdrawal,2023-10-26,2023,10,P029,Small Business Loan,2024-08-22,2024,Thursday,Clicked,4
C055,69,95115.59,501,Poor,672003.15,9.72,36,Business,7.065120975436309,0,3a9eaf6f-26b8-4269-938b-e532d8e642e3,Male,1944.72,Deposit,2024-02-03,2024,2,P03,Credit Card,2024-03-16,2024,Saturday,Viewed,4
C033,19,134899.68,683,Good,669405.44,8.34,36,Personal,4.962246315187701,0,75c99ab7-4c3c-4276-8761-f4bac74675d6,Male,1794.65,Withdrawal,2024-06-13,2024,6,P03,Credit Card,2024-03-17,2024,Sunday,Clicked,9
C050,21,147509.83,711,Good,558130.97,13.89,60,Education,3.7836866193934333,0,6cf3ee98-771e-4a76-a809-1fe775fc7a5e,Male,327.0,Withdrawal,2023-10-14,2023,10,P05,Home Loan,2024-08-24,2024,Saturday,Clicked,9
C058,70,117309.04,553,Poor,337061.61,13.55,24,Education,2.8732790755085884,0,d46d3205-7eac-45fb-bffd-354be259678a,Male,1586.6,Deposit,2023-12-13,2023,12,P010,Retirement Plan,2024-09-03,2024,Tuesday,Clicked,2
C040,66,92501.38,342,Poor,374576.36,14.54,48,Business,4.049413749286767,1,4e9ed59d-75a0-4577-a83f-51b07c4228b5,Female,822.86,Withdrawal,2023-09-24,2023,9,P029,Small Business Loan,2024-06-21,2024,Friday,Purchased,4
C096,54,137882.8,321,Poor,913381.05,6.32,12,Personal,6.624329140400399,0,8f1ccab5-338c-4288-8810-82ade5aa9eda,Male,61.13,Deposit,2024-07-20,2024,7,P022,Short-Term Loan,2024-02-11,2024,Sunday,Purchased,6
C028,55,190636.84,470,Poor,727110.07,4.58,12,Business,3.814111008134629,0,0d3c3f69-4041-4319-ba27-29a9163b00fe,Female,1820.54,Withdrawal,2024-01-08,2024,1,P043,Money Market Account,2024-09-05,2024,Thursday,Clicked,1
C029,56,75614.55,476,Poor,985747.72,1.41,24,Personal,13.036481999826751,1,64a26526-23a5-4e4e-ba7f-4e8759a291ff,Male,1675.48,Deposit,2024-02-12,2024,2,P07,Business Loan,2023-09-21,2023,Thursday,Purchased,8
C096,67,44387.72,447,Poor,617613.08,5.82,48,Auto,13.91405280559578,1,80ee6967-5677-43cd-b00f-05c04d472b69,Female,1118.9,Withdrawal,2023-09-23,2023,9,P017,Business Credit Line,2023-11-07,2023,Tuesday,Viewed,6
C059,41,131171.95,591,Fair,896610.08,11.25,12,Business,6.835379667680475,0,973ce570-3022-4212-b452-67de2a6d8f6c,Female,1962.75,Deposit,2024-08-22,2024,8,P035,Real Estate Investment,2023-10-02,2023,Monday,Clicked,6
C034,46,157391.07,580,Fair,717126.61,3.77,24,Business,4.556336074213105,0,1a6621ca-d6ac-4cca-85f4-cbeec27ce91e,Male,1577.29,Withdrawal,2024-03-17,2024,3,P07,Business Loan,2024-05-27,2024,Monday,Viewed,10
C042,43,193536.78,525,Poor,695854.41,11.18,12,Mortgage,3.5954634049403946,0,db4772fc-14bf-4663-a6c4-c0ec85e37a81,Female,328.17,Withdrawal,2023-12-29,2023,12,P028,Debt Consolidation Loan,2024-09-12,2024,Thursday,Clicked,4
